congestion_control,loss,delay,avg_throughput,std_dev
cubic,0.1%,10ms,24.510761,9.547233
cubic,0.1%,50ms,2.399622,1.117692
cubic,0.1%,100ms,0.699589,0.496556
cubic,0.5%,10ms,16.843086,11.787019
cubic,0.5%,50ms,1.720822,1.499590
cubic,0.5%,100ms,0.415663,0.220715
cubic,1%,10ms,13.186048,11.621270
cubic,1%,50ms,0.734607,0.762752
cubic,1%,100ms,0.346694,0.409089
reno,0.1%,10ms,26.917971,1.941924
reno,0.1%,50ms,1.812260,1.802747
reno,0.1%,100ms,0.545986,0.344026
reno,0.5%,10ms,17.833457,10.405261
reno,0.5%,50ms,1.050079,1.411530
reno,0.5%,100ms,0.270657,0.213380
reno,1%,10ms,8.710652,11.178122
reno,1%,50ms,0.614076,0.901064
reno,1%,100ms,0.149757,0.045633
